N	time of count
#	s
1	0.32900000000000024
2	0.6460000000000005
3	0.6600000000000005
4	0.7020000000000005
5	0.7750000000000006
6	0.7920000000000006
7	0.9140000000000007
8	1.007
9	1.159999999999983
10	1.3019999999999674
11	1.432999999999953
12	1.7999999999999126
13	1.8089999999999116
14	1.8209999999999102
15	1.9999999999998905
16	2.014999999999889
17	2.077999999999882
18	2.2089999999998677
19	2.241999999999864
20	2.2729999999998607
21	2.3269999999998547
22	2.442999999999842
23	2.5099999999998346
24	2.588999999999826
25	2.6099999999998236
26	2.6749999999998164
27	2.8819999999997936
28	2.9389999999997873
29	3.031999999999777
30	3.1009999999997695
31	3.2629999999997517
32	3.5079999999997247
33	3.5289999999997224
34	3.5479999999997203
35	3.5569999999997193
36	3.723999999999701
37	3.838999999999688
38	3.8899999999996826
39	3.8919999999996824
40	3.9289999999996783
41	4.273999999999762
42	4.319999999999777
43	4.44899999999982
44	4.612999999999875
45	4.692999999999902
46	4.902999999999972
47	5.142000000000052
48	5.355000000000123
49	5.500000000000171
50	5.546000000000187
51	5.5540000000001895
52	5.618000000000211
53	5.649000000000221
54	5.799000000000271
55	5.866000000000294
56	5.8840000000003
57	5.937000000000317
58	6.163000000000393
59	6.1950000000004035
60	6.27300000000043
61	6.354000000000457
62	6.39300000000047
63	6.397000000000471
64	6.556000000000524
65	6.708000000000575
66	6.803000000000607
67	7.034000000000684
68	7.126000000000714
69	7.138000000000718
70	7.1800000000007325
71	7.378000000000799
72	7.571000000000863
73	7.65200000000089
74	7.804000000000941
75	7.8480000000009555
76	7.916000000000978
77	7.999000000001006
78	8.416000000000775
79	9.119000000000385
80	9.12800000000038
81	9.169000000000358
82	9.317000000000276
83	9.549000000000147
84	9.685000000000072
85	9.94199999999993
86	10.19199999999979
87	10.222999999999773
88	10.340999999999708
89	10.634999999999545
90	10.829999999999437
91	10.93399999999938
92	10.989999999999348
93	11.245999999999206
94	11.56499999999903
95	11.698999999998955
96	11.855999999998868
97	12.055999999998757
98	12.131999999998715
99	12.149999999998705
100	12.245999999998652
101	12.396999999998568
102	12.414999999998559
103	12.57399999999847
104	12.643999999998432
105	13.005999999998231
106	13.059999999998201
107	13.9639999999977
108	14.10899999999762
109	14.439999999997436
110	14.688999999997298
111	14.744999999997267
112	14.854999999997206
113	14.994999999997129
114	15.06499999999709
115	15.112999999997063
116	15.127999999997055
117	15.139999999997048
118	15.403999999996902
119	15.457999999996872
120	15.528999999996833
121	15.684999999996746
122	15.80299999999668
123	16.265999999996897
124	16.426999999997093
125	16.58099999999728
126	16.657999999997376
127	16.716999999997448
128	16.754999999997494
129	16.796999999997546
130	17.12899999999795
131	17.337999999998207
132	17.344999999998215
133	17.616999999998548
134	17.654999999998594
135	17.77299999999874
136	17.84799999999883
137	17.964999999998973
138	18.041999999999067
139	18.15799999999921
140	18.260999999999335
141	18.798999999999992
142	19.024000000000267
143	19.489000000000836
144	19.7880000000012
145	20.01600000000148
146	20.407000000001958
147	20.428000000001983
148	20.509000000002082
149	20.641000000002244
150	20.72100000000234
151	20.99800000000268
152	21.10400000000281
153	21.347000000003106
154	21.436000000003215
155	21.682000000003516
156	21.714000000003555
157	21.7510000000036
158	22.157000000004096
159	22.23500000000419
160	22.3230000000043
161	22.409000000004404
162	22.74200000000481
163	22.949000000005064
164	23.25600000000544
165	23.377000000005587
166	24.318000000006737
167	24.415000000006856
168	24.592000000007072
169	24.593000000007073
170	24.710000000007216
171	24.758000000007275
172	24.960000000007522
173	24.98400000000755
174	25.16400000000777
175	25.21100000000783
176	25.4330000000081
177	25.578000000008277
178	25.673000000008393
179	25.837000000008594
180	25.952000000008734
181	25.969000000008755
182	26.125000000008946
183	26.417000000009303
184	26.626000000009558
185	26.894000000009886
186	27.006000000010022
187	27.01100000001003
188	27.164000000010216
189	27.401000000010505
190	27.89600000001111
191	28.065000000011317
192	28.424000000011755
193	28.430000000011763
